	Door1	Door2	FaucetHandle1	FaucetHandle2	SinkFloor1	SinkFloor2	Soap Dispenser	Stall	ToiletFloor1	ToiletFloor2	ToiletFlushHandle1	ToiletFlushHandle2	ToiletSeat1	ToiletSeat2	Domaine	Embranchement	Classe	Ordre	Famille	Genre	OTU
2009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	02437
2010	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	03199
2011	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	01922
2012	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	03503
2013	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	03121
2014	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	02630
2015	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	02001
2016	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	unclassified	02518
2017	0	0	0	0	3	2	0	0	2	1	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	00484
2018	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	03004
2019	0	0	0	0	2	0	0	0	0	1	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	unclassified	unclassified	01175
2020	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	unclassified	unclassified	03127
2021	0	0	0	0	2	0	0	0	1	2	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	unclassified	00699
2022	0	4	0	0	0	0	0	0	0	1	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	00754
2023	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Bacteria	Deinococcus-Thermus	Deinococci	unclassified	unclassified	unclassified	01660
